wine_id,name,varietal,price,description,Region_Id
77,Olema Sonoma County Pinot Noir,Pinot Noir,19.99,"The wine starts with strong aromas of bright candied cherry, wild strawberry, pomegranate and plum with lite background notes of pine sap and fresh vanilla bean.",772
78,Perseverance Lodi Old Vine Zinfandel,Zinfandel,9.99,"Fruit forward with plenty of ripe plum, black cherry and spice flavors throughout. Concentrated on the palate with mocha spice, black raspberry and white pepper. Big and rich with classic Zinfandel bramble on the finish.",735
79,Pietre Del Sole Pinot Grigio,Pinot Grigio,10.99,"Fresh, clean, and driven with minerality, this Pinot Grigio supports a stable frame of fruit and texture on the mid palate not often found in similar bottlings.",485
80,Pin It Chardonnay,Chardonnay,14.99,"A beautiful expression of Chardonnay, all from Wente's Estate Vineyards. Opens with gentle floral notes on the nose and showcases beautiful hints of creamy lemon curd, green apple and vanilla on the palate. Enticing minerality and fresh natural acidity on the pleasant finish. Estate grown in Certified Sustainable vineyards.
 
When you find something you love - places, experiences, hang outs, you Pin It! That's the same idea behind this wine.",740
81,Pleasures Pinot Noir,Pinot Noir,9.99,"Delicate and fruit forward with pomegranate, strawberry, cherry and sweet spice flavors on the nose and palate. The wine ends with firm, ripe tannins, lively acidity and a touch of complex spiciness.",782
82,Punch Cabernet Sauvignon Red Hills Lake County,Cabernet Sauvignon,19.99,na,756
83,Quona Chianti Rufina DOCG Reserva,"Sangiovese, Canaiolo, Colorino",24.99,na,373
84,Robert Goulley Chablis,Chardonnay,19.99,"Organically grown Chardonnay reaches the peak of freshness here in the hills of Burgundy’s Chablis. The bedrock of fine grained chalk, formed many years ago from ancient oyster shells, gives these wines a streak of fresh acidity and minerality. Organic viticulture only enhances these flavors in the resulting wine.",140
85,San Vito Valpolicella Classico,"Corvina, Rondinella",11.99,na,474
86,San Vito Valpolicella Ripasso,"Corvina, Rondinella, Molinara",19.99,na,476
87,Scarbolo Il Volo Pinot Grigio,Pinot Grigio,14.99,na,406
88,Scarbolo Sauvignon Grave,Sauvignon Blanc,18.99,na,406
89,Second Growth Cabernet Sauvignon,Cabernet Sauvignon,17.99,"Medium to deep garnet-purple in color with a nose of cassis, blackcurrant, plums, baking chocolate, leather and a whiff of pencil shavings. It’s full-bodied with lush black fruit in the mouth framed by herbal notes and spice, with very fine tannins and good acidity to lift the concentrated finish. Very classic style of Cabernet Sauvignon and a great value.",722
90,Second Growth Pinot Noir Chehalem Mountains,Pinot Noir,29.99,"Aromatic with bright red cherry and cola candy, the palate is pleasant and super easy drinking. An every day quaffable wine.",780
91,Second Growth Willamette Pinot Gris,Pinot Gris,16.99,"Opens with green apple and papaya alongside breezy aromas of fresh meadow. This wine is exuberant on the palate with nectarine and melon, flourishes of lychee and a lingering pink-peppercorn finish. All wines from this boutique producer are produced with estate grown, biodynamically  farmed grapes.  Only 336cs produced.",780
